FileName,FullPath,SizeKB,CreatedDate,ModifiedDate,Extension
"ubuntu-20.04.6-desktop-amd64.iso","E:\VIRTUAL BOX\ubuntu_iso\ubuntu-20.04.6-desktop-amd64.iso",4249476,3/2/2025 7:07:41 PM,3/2/2025 7:43:37 PM,".iso"
"VirtualBox-7.1.6-167084-Win.exe","E:\VIRTUAL BOX\vb_installer\VirtualBox-7.1.6-167084-Win.exe",120133.04,3/1/2025 1:57:10 PM,3/1/2025 1:58:00 PM,".exe"
"master.vbox","E:\VIRTUAL BOX\master\master\master.vbox",5.59,3/26/2025 8:26:14 PM,3/26/2025 8:26:14 PM,".vbox"
"master.vbox-prev","E:\VIRTUAL BOX\master\master\master.vbox-prev",5.59,3/3/2025 10:53:03 PM,3/3/2025 10:53:03 PM,".vbox-prev"
"master.vdi","E:\VIRTUAL BOX\master\master\master.vdi",11037696,3/2/2025 9:47:16 PM,3/26/2025 8:26:12 PM,".vdi"
"Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-aux-iso.viso","E:\VIRTUAL BOX\master\master\Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-aux-iso.viso",0.75,3/2/2025 9:47:16 PM,3/2/2025 9:47:16 PM,".viso"
"Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-isolinux-isolinux.cfg","E:\VIRTUAL BOX\master\master\Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-isolinux-isolinux.cfg",0.17,3/2/2025 9:47:16 PM,3/2/2025 9:47:16 PM,".cfg"
"Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-isolinux-txt.cfg","E:\VIRTUAL BOX\master\master\Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-isolinux-txt.cfg",2.01,3/2/2025 9:47:16 PM,3/2/2025 9:47:16 PM,".cfg"
"Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-preseed.cfg","E:\VIRTUAL BOX\master\master\Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-preseed.cfg",3.07,3/2/2025 9:47:16 PM,3/2/2025 9:47:16 PM,".cfg"
"Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-vboxpostinstall.sh","E:\VIRTUAL BOX\master\master\Unattended-7a8fa2e7-a9ad-494c-b5ce-6bb95c85fb2a-vboxpostinstall.sh",6.88,3/2/2025 9:47:16 PM,3/2/2025 9:47:16 PM,".sh"
"slave.vbox","E:\VIRTUAL BOX\slave\slave\slave.vbox",5.23,3/26/2025 8:26:16 PM,3/26/2025 8:26:16 PM,".vbox"
"slave.vbox-prev","E:\VIRTUAL BOX\slave\slave\slave.vbox-prev",5.24,3/26/2025 8:19:15 PM,3/26/2025 8:19:15 PM,".vbox-prev"
"slave.vdi","E:\VIRTUAL BOX\slave\slave\slave.vdi",11277312,3/2/2025 11:08:17 PM,3/26/2025 8:26:15 PM,".vdi"
"VBox.log","E:\VIRTUAL BOX\master\master\Logs\VBox.log",261.93,3/26/2025 8:19:10 PM,3/26/2025 8:26:15 PM,".log"
"VBox.log.1","E:\VIRTUAL BOX\master\master\Logs\VBox.log.1",116.43,3/26/2025 7:28:01 PM,3/26/2025 8:16:29 PM,".1"
"VBox.log.2","E:\VIRTUAL BOX\master\master\Logs\VBox.log.2",266.58,3/3/2025 10:12:13 PM,3/3/2025 10:53:05 PM,".2"
"VBox.log.3","E:\VIRTUAL BOX\master\master\Logs\VBox.log.3",376.81,3/3/2025 6:27:50 PM,3/3/2025 10:11:00 PM,".3"
"VBoxHardening.log","E:\VIRTUAL BOX\master\master\Logs\VBoxHardening.log",491.36,3/26/2025 8:18:46 PM,3/26/2025 8:26:16 PM,".log"
"VBox.log","E:\VIRTUAL BOX\slave\slave\Logs\VBox.log",261.45,3/26/2025 8:19:33 PM,3/26/2025 8:26:18 PM,".log"
"VBox.log.1","E:\VIRTUAL BOX\slave\slave\Logs\VBox.log.1",47.2,3/26/2025 8:19:10 PM,3/26/2025 8:19:11 PM,".1"
"VBox.log.2","E:\VIRTUAL BOX\slave\slave\Logs\VBox.log.2",116.54,3/26/2025 7:28:01 PM,3/26/2025 8:16:29 PM,".2"
"VBox.log.3","E:\VIRTUAL BOX\slave\slave\Logs\VBox.log.3",1137.44,3/3/2025 6:27:51 PM,3/3/2025 11:29:37 PM,".3"
"VBoxHardening.log","E:\VIRTUAL BOX\slave\slave\Logs\VBoxHardening.log",500.27,3/26/2025 8:19:23 PM,3/26/2025 8:26:19 PM,".log"
